Model-Name,comment,stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Midrange specs ...flagship price? ....fraud company....compare with performance of other brands like realme and xiaomi.....oppo and vivo are doing this fraud business via offline stores ...be not fooled by these companies atleast in the online market wherebwe can compare thereviews , lerformance , camera , quality, price rather than simply believingbthe blunters of salesmen in stores....for example 1.samsung gm1 48mp camera used in reno 2f is used in budget phone redmi note 7s (price 9k)2.This phone has antutu benchmark score of onlyb130ks , redmi note 7 pro has 180-190ks  , realme 5 pro has 180 ks, and even note 7s has 150ks with sd 660Only plus for this phone is super amoled screen and popup camera...This phone worh just or under 15k...Go for realme xt for 15-16 k or if u want to spend 25 k go for k20 proPLS DONT WASTE YOUR MONEY

  
",2.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  it should be 22 k

  
",2.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Best camera mobile

  
",5.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Update - After few months and several updates I feel AI image processing quality had increased a bit. But i still feel the camera is not upto mark for the price at which this phone is being sold.UI is very good and updates are regular.Will update the review after using it extensively. The display is very good. Charging was fast. But the camera seems to very poor. AI seems to soften the images too much. My redmi 6 pro offers much sharper images. Possibly updates might improve the image quality.

  
",3.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Price is little bit high but it's really a nys phone. it's looks so premium, bettry backup and camera is just amazing . I'm very much satisfied with this purchase.

  
",5.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  It is funny to read some comments in public forums where a few people are blindly, without any technical knowledge are criticizing the Mediatek Helio P70 processor that the Reno series of phones are configured with, or go on comparing this with some totally different set of processor(s) from QualComm's Snapdragon chipsets.The MediaTek Helio P70 is based on TSMC 12nm FinFET production process and incorporates a powerful Arm Cortex-A73/A53 octa-core CPU complex with an impressive Arm Mali-G72 class GPU and a dedicated AI processing unit which provide a clock speed of 2.1GHz. This helps in enhancing performance and gaming experience. Unlike the snapdragon 6** series, P70 is not underclocked. It is seen to outperform SD 660AIE in all tested areas and proves to be the better SoC than SD 675 except the benchmark scores.I am not even talking about the state-of-the-art combinations of the dynamic AMOLED display with full 4K render-ability, or the complex rear quad-cam set up.Just got this great work of innovation this morning in hand and still exploring all its services and suites. It can safely be said that this mobile phone easily outperforms many other big names above its price / class hands down. Go get it, without any second thought.

  
",5.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  This is best phone for this range.camera 4.5/5Overall look 5/5

  
",5.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  THIS DISPLAY 6.53 IS AMAZING- 9.5/10INDISPLAY FINGERPRINT - 9/10SOUND (DOLBY ATMOS)-10/10CAMERA - 10/10RAM-10/10ROM AND STORAGE FOR SDCARD-10/10COLOR - LIKE AND PEACOCK FEATHER TOUCH IN BACKBOX CONTAINS ALL PRESCREENGUARD, BACKCASE, EARPHONES, VOOC FAST CHARGER WITH TYPE C CABLE-10/10EVEN IN BOX WORTH-2500 RS.NO BODY AT THIS SEASON BEAT WITH THIS CAMERA, BACK AND FRONT (VERA LEVEL)5*****PROCESSOR IS ALSO QUITE IMPRESSIVE P70 AFTER UPDATED BUTTER TOUCHTHIS MOBILE IS WORTH UNTIL FOR 10YRS, FOR THE MAIN PHOTOGRAPHYUpdated on 20/11/2019Price drops to almost 5000 now less than 40 days its worst , we buy it around 25900, now it seems 21600 for white color, why this drop around a month any product late we buy late we get price drop benefits we are fooled by buy in first sales. why they are doing like this, after 3 months little price drop ok but just a month vendors make us fools last month puchasers.(buyers)

  
",5.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Excellent Phone. Bought it with an exchange of iPhone 6s. No regret at all..Camera - 9.5/10Sound - 9.5/10Dolby Atmos - 10/10Display Super AMOLED - 10/10Headphones - 9.8/10Pop-up camera - 9.5/10Touch sensor - 10/10 lightning fast.Charging - 10/10Battery - 9.9/10What else you need? This is what I was expecting from a smartphone. I am using OnePlus 6 from last 2 years. But now i m more addicted to this oppo Reno 2 F. Great product from Oppo.Please go for it. Do not listen to any negative reviews. Genuinely it is a recommended phone ...

  
",5.0 out of 5 stars
"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Not usefuldevice was very slow for coping data and for cloneing

  
",1.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Worst product. Never buy. Slippery  nature, not fiiting proper in hand. Simply Amazon forcing the customer to use it instead of return or replacement. Don't buy online unless u physically see the demo or physical touch of product. Website display is more of graphics.Worst product features.

  
",1.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Nice phone camera super super fast

  
",4.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Very high price...........well done MI

  
",1.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Superb cameraBattery backup awesomeNice perfomance

  
",5.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  I like each and every feature of this mobile except selfie quality

  
",4.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Got the phone yesterday,functioning is good but I am not able to access the front camera as it's showing another camera is broken can not switch.

  
",3.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Camera quality is not adequate as per expected. It's like 5 mp camera

  
",1.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  In this phone Battery performance  is ok good camera also not as aspected. ButWow!! I what a picCamera quality improve after update.

  
",4.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Worest mobile ...don't by it friends .I got one month back this mobile .. battery backup 0 only camera good

  
",1.0 out of 5 stars
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  It's about awesomeness 😬😁😊

  
",4.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Price is too high for this specifications. 11000-12000 is the perfect price. Other than everything is fine

  
",3.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Reliable phone with neat experience. Zero bloatware.Even though it's a 12 MP cam, the quality of photos and top notch.Battery keeps us for 2 days as well - good software optimization.The build quality is a good as the ones in 25k+ prices for other phones.Perfect everyday use phone!

  
",5.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  I have nokia 7.2,i dont have this phone,,,but still i love it.....because i am a nokia lover..... 😊

  
",5.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Stock Android - Clean OS without any bloatware, 2 Years of promised Android OS & Security Updates, Elegant Design which is super cool compared with Nokia 7.2, Very Smooth and Sturdy in holding the handset & On a Final Verdict - Awesome Deal for Android One Lovers 😊.Promised one day delivery by Appario 😊.

  
",5.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Some people think that this phone maybe overpriced. But I have to say it is one of the best phone of this price. I buy this phone for moderate use, not for gaming. The camera of this phone is really  & the audio quality & battary perfect & in-hand fill are great. Nokia is not like other chiniese brands who have a lote of privacy issue . It give you a stock Android with zero bloatware, that give you a good experience for use. Nokia give 3 years security update & 2 years android update.

  
",5.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
   Nokia 5.3 Cyan 4GB/64GBThings I like:* Big Display which is well lit* Light weight* Beautiful back gradient design with pattern* Pure android (Android One) with out of box Android 10 and August Security Update (after updating)* Camera is above average* 2 Major android upgrades (Android 11 & 12)* USB-C & Headphone jack* WHITE NOTIFICATION LED in POWER BUTTON ITSELF* No bloatwares except Google apps* Flip to disconnect call and pickup to silent call gesturesThings I didn't liked:* Camera performance in low light* Screen ratio (bit longer)* Display resolution (720p+ or HD+)* Device battery and processor (comparing to others in 14k price range)In the box:* Mobile Phone, charger (5V 2A), USB Type C cable, earphones with mic, sim ejector tool and documents.Conclusion:It is a relief and life saver amidst the No China campaign. Strictly speaking, you will be more than happy with the performance of this phone if you are average user (not a heavy mobile gamer).This phone is great for daily use and Nokia could have added few extra features. Overall this is a beautiful phone for this price range and one shouldn't expect too much.Go for it, you'll be happy.Note: Charger is ""Made in China""

  
",5.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Really love the design and build quality of Nokia products.Nokia 5.3 is a beautiful Android one device, hence zero bloatware. Great Camera, Big screen, Smooth performance, Solid build quality. What more can one ask for.

  
",5.0 out of 5 stars
